GENDER,ORG_BIZ_CHNG,CP_BC,MS_CHNG,SEC_CHNG,MFI_CHNG,HEQ_CHNG,IS_CHNG,ES_CHNG,PREP_TIME_CP,PREP_TIME_PP,TL_AVG,TIME_SPENT_PP,CS_AVG_CP,EC_AVG_CP,PA_AVG_CP,PC_AVG_CP,ST_AVG_CP,CS_AVG_PP,EC_AVG_PP,PA_AVG_PP,PC_AVG_PP,ST_AVG_PP,iPF_AVG_CP,iPF_AVG_PP
M,ORG_CHNG,N,Y,U,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,High,6,2.833333333,1.333333333,4.5,3.75,2.25,2.5,5,1.25,5,3,2.933333333,3.35
M,ORG_CHNG,N,N,U,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,Low,3,3.166666667,3.333333333,2.75,3.75,3.25,3.166666667,2,2.25,3.25,2.75,3.25,2.683333333
M,ORG_CHNG,N,N,N,D,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,20,2.666666667,4,2.25,4.25,4,4.166666667,4.666666667,2.5,4.5,3.75,3.433333333,3.916666667
M,ORG_CHNG,Y,Y,N,U,N,Y,Y,BTWN_6_12_MONTHS,BTWN_6_12_MONTHS,Low,10,2.833333333,3.333333333,2.75,3.25,3.5,3.166666667,3.333333333,2.75,3.5,4,3.133333333,3.35
M,ORG_CHNG,Y,N,N,N,Y,Y,N,BTWN_3_6_MONTHS,BTWN_3_6_MONTHS,Low,2,2.333333333,5,2,4,5,3.666666667,5,2,5,4,3.666666667,3.933333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,High,5,3,2,1.75,3.75,2.25,3.333333333,4.666666667,1.75,4,1.75,2.55,3.1
F,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,Low,10,2.333333333,4.666666667,1.25,3.25,2.25,3.166666667,5,2,4,3.5,2.75,3.533333333
F,ORG_CHNG,N,N,N,U,Y,Y,N,BTWN_3_6_MONTHS,BTWN_3_6_MONTHS,Low,12,2.333333333,4.666666667,1.25,3.25,2.25,1.833333333,3.333333333,1.25,3,3.5,2.75,2.583333333
F,ORG_CHNG,Y,Y,N,N,Y,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,5,3.333333333,5,3,4,4.25,3,4.666666667,2,3.5,4,3.916666667,3.433333333
F,ORG_CHNG,Y,N,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,Low,11,3.333333333,5,2.5,4.25,3.75,3.5,4.666666667,2,4.25,4.25,3.766666667,3.733333333
M,ORG_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,MORE_THAN_2_YEARS,Low,23,2.666666667,3.333333333,4,3.75,3.75,4,4.333333333,3.5,4.75,3.75,3.5,4.066666667
M,ORG_CHNG,N,N,N,U,N,Y,Y,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,9,3.166666667,2.333333333,1,3.5,1,3.333333333,3.333333333,3.75,3.5,3.75,2.2,3.533333333
F,ORG_CHNG,N,Y,U,U,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,3,3.5,5,3,4,4.25,3,4.666666667,2,3.5,4,3.95,3.433333333
F,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,3,3.5,5,3,4,4.25,3,4.666666667,2,3.5,4,3.95,3.433333333
F,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_3_6_MONTHS,Low,5,2.333333333,4.666666667,1.25,3.25,2.25,3,4.666666667,1.25,2.5,1.25,2.75,2.533333333
M,ORG_CHNG,N,Y,U,U,N,Y,N,BTWN_3_6_MONTHS,MORE_THAN_2_YEARS,Low,7,2.333333333,4.666666667,1.25,3.25,2.25,4.333333333,5,4.25,4.25,4,2.75,4.366666667
M,ORG_CHNG,Y,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,High,4,2.333333333,4.666666667,1.25,3.25,2.25,3.333333333,4.333333333,2.25,3.75,4,2.75,3.533333333
M,ORG_CHNG,N,Y,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,3,3.5,5,3,4,4.25,3,4.666666667,2,3.5,4,3.95,3.433333333
M,ORG_CHNG,N,N,N,N,N,Y,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,7,3.166666667,2.333333333,1,3.5,1,2.333333333,3.666666667,1.75,3.5,3.25,2.2,2.9
F,ORG_CHNG,N,Y,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,Low,9,2.333333333,4.666666667,1.25,3.25,2.25,3.166666667,5,2,4,3.5,2.75,3.533333333
M,ORG_CHNG,N,Y,N,U,N,Y,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,3,3.166666667,2.333333333,1,3.5,1,2.5,3.333333333,1.75,3.5,3.75,2.2,2.966666667
F,ORG_CHNG,N,N,N,D,N,Y,N,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,Low,4,2.333333333,4.666666667,1.25,3.25,2.25,1.333333333,4,3,3,4.25,2.75,3.116666667
F,ORG_CHNG,Y,Y,N,U,Y,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,3,3.5,5,3,4,4.25,3,4.666666667,2,3.5,4,3.95,3.433333333
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,Low,7,3.333333333,3.333333333,1.75,3,2.5,1.833333333,3.666666667,1.25,3.5,2.75,2.783333333,2.6
M,ORG_CHNG,Y,N,N,N,Y,Y,N,BTWN_1_2_YEAR,MORE_THAN_2_YEARS,Low,2,3.5,5,2.5,5,4.75,2.833333333,3.333333333,2.75,4,3,4.15,3.183333333
M,ORG_CHNG,N,N,N,D,N,Y,N,BTWN_6_12_MONTHS,MORE_THAN_2_YEARS,Low,2,2.833333333,4.666666667,1.75,3.5,3.25,1.666666667,5,2,4.75,4,3.2,3.483333333
M,ORG_CHNG,Y,N,N,U,N,Y,N,BTWN_6_12_MONTHS,BTWN_3_6_MONTHS,Low,6,3.333333333,3.666666667,1,4.25,3.5,2.833333333,4,1.25,4,2.25,3.15,2.866666667
M,ORG_CHNG,N,Y,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,9,2.5,3.666666667,1.25,3.75,2.5,2.5,4,2.75,3,4,2.733333333,3.25
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_3_6_MONTHS,Low,4,2.333333333,3.666666667,1.25,3.25,2.5,1,3.666666667,1,4.25,2,2.6,2.383333333
M,ORG_CHNG,N,N,N,N,Y,Y,Y,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,8,2.333333333,3.666666667,1.25,3.5,1.75,2.5,4.333333333,1.75,3.25,4.5,2.5,3.266666667
M,ORG_CHNG,N,N,U,U,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,High,9,2.5,3.666666667,1.25,3.75,2.5,2.5,4.333333333,3.5,3.25,4.25,2.733333333,3.566666667
M,ORG_CHNG,N,Y,U,N,N,Y,N,BTWN_1_2_YEAR,MORE_THAN_2_YEARS,High,7,2.333333333,3.666666667,1.25,3.5,1.75,1.666666667,5,2.25,4.75,4,2.5,3.533333333
M,ORG_CHNG,N,Y,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_1_2_YEAR,Low,13,2.333333333,3.666666667,1.25,3.5,1.75,2.166666667,3.333333333,1.75,3.5,4,2.5,2.95
M,ORG_CHNG,N,N,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,14,2.333333333,3.666666667,2,3.75,1.75,1.666666667,4.333333333,1.25,4,2.75,2.7,2.8
M,ORG_CHNG,N,Y,N,U,Y,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,18,2.333333333,3.666666667,1.25,3.5,1.75,4.5,5,3.25,4.75,4,2.5,4.3
M,ORG_CHNG,N,Y,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,High,18,2.333333333,3.666666667,1.25,3.5,1.75,4.5,5,3.25,4.75,4,2.5,4.3
M,ORG_CHNG,N,Y,N,U,Y,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,18,2.333333333,3.666666667,1.25,3.5,1.75,4.5,5,3.25,4.75,4,2.5,4.3
M,ORG_CHNG,Y,Y,N,U,Y,Y,N,BTWN_6_12_MONTHS,BTWN_6_12_MONTHS,Low,19,3.666666667,4.666666667,1.25,3,3.5,4.5,5,3.25,4.75,4,3.216666667,4.3
M,ORG_CHNG,N,Y,N,N,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,High,36,2.333333333,3.666666667,1.25,3.5,1.75,4.5,5,3.25,4.75,4,2.5,4.3
F,ORG_CHNG,N,Y,N,N,N,Y,N,BTWN_6_12_MONTHS,BTWN_3_6_MONTHS,High,14,2.5,2,3.5,3.25,3,2.666666667,3,3,2.5,3.25,2.85,2.883333333
F,ORG_CHNG,N,N,N,N,N,Y,N,UPTO_3_MONTHS,MORE_THAN_2_YEARS,High,3,3.666666667,4,2.25,4.5,3.5,4,4.333333333,2.5,4.75,4,3.583333333,3.916666667
M,NO_EMP_CHNG,Y,N,N,U,N,N,N,UPTO_3_MONTHS,MORE_THAN_2_YEARS,Low,9,2.166666667,3.666666667,2.25,3.5,2.5,3.833333333,3.333333333,3.75,4,3.75,2.816666667,3.733333333
M,ORG_CHNG,N,N,N,N,N,Y,N,UPTO_3_MONTHS,BTWN_6_12_MONTHS,High,6,3.166666667,2.333333333,1,3.5,1,3,3.666666667,2,2.25,3,2.2,2.783333333
M,ORG_CHNG,Y,Y,U,U,N,Y,N,BTWN_1_2_YEAR,MORE_THAN_2_YEARS,Low,9,2.666666667,3.666666667,3.5,3.25,3.5,3,4,3.25,4,4.25,3.316666667,3.7
M,ORG_CHNG,N,N,N,U,N,Y,N,UPTO_3_MONTHS,UPTO_3_MONTHS,Low,2,1.666666667,4,1.25,2.5,2,1,4.333333333,1.25,2.25,2,2.283333333,2.166666667
M,ORG_CHNG,N,N,N,N,Y,Y,N,UPTO_3_MONTHS,BTWN_3_6_MONTHS,High,6,2.666666667,4.666666667,1.75,3.75,3,3.166666667,3,2.25,3.5,3.5,3.166666667,3.083333333
M,ORG_CHNG,N,Y,N,U,N,Y,N,UPTO_3_MONTHS,BTWN_3_6_MONTHS,Low,14,3.166666667,2.333333333,1,3.5,1,1,4,1,4,2.5,2.2,2.5
M,ORG_CHNG,N,N,N,U,N,Y,N,BTWN_6_12_MONTHS,BTWN_6_12_MONTHS,High,2,2.666666667,3.666666667,1.75,3.75,3.5,1.666666667,4.333333333,1,3.75,2,3.066666667,2.55
M,ORG_CHNG,N,N,N,D,N,Y,N,UPTO_3_MONTHS,UPTO_3_MONTHS,High,8,3.166666667,3.666666667,2.25,3.75,2.75,3.5,3.333333333,2.5,3.75,3,3.116666667,3.216666667
M,ORG_CHNG,Y,N,N,N,Y,Y,N,MORE_THAN_2_YEARS,UPTO_3_MONTHS,High,4,3,3,3,3,3,2.666666667,2.666666667,2.5,3.5,3.25,3,2.916666667
F,ORG_CHNG,N,N,N,N,N,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,High,2,2.5,3.666666667,2.5,4,4,3.166666667,4.333333333,2.5,4,3.25,3.333333333,3.45
F,ORG_CHNG,Y,N,U,U,N,Y,N,BTWN_1_2_YEAR,MORE_THAN_2_YEARS,High,4,3.5,4.333333333,2.25,3.5,4,2.333333333,4.333333333,3,2.75,2.25,3.516666667,2.933333333
F,ORG_CHNG,N,Y,U,U,N,Y,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,High,6,3,4.333333333,2.75,4.25,3.75,3.666666667,4.666666667,2,5,3.5,3.616666667,3.766666667
M,NO_EMP_CHNG,N,X,N,N,N,N,N,MORE_THAN_2_YEARS,BTWN_6_12_MONTHS,Low,10,3.5,4,3.25,3,3.75,4.166666667,4.666666667,1.5,3.75,3.25,3.5,3.466666667
M,ORG_CHNG,N,N,N,D,N,Y,Y,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,7,3.166666667,2.333333333,1,3.5,1,1,2.666666667,1.25,3.75,3.5,2.2,2.433333333
M,ORG_CHNG,N,N,N,N,N,Y,N,UPTO_3_MONTHS,BTWN_3_6_MONTHS,Low,15,3.166666667,2.333333333,1,3.5,1,1,4.333333333,1.25,2.5,2.25,2.2,2.266666667
M,ORG_CHNG,N,N,N,N,N,Y,Y,UPTO_3_MONTHS,BTWN_3_6_MONTHS,Low,11,3.166666667,2.333333333,1,3.5,1,1,3.666666667,1,3,2.5,2.2,2.233333333
F,NO_EMP_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,MORE_THAN_2_YEARS,Low,6,2.666666667,2.333333333,1,3,1,2.833333333,3,2.75,4,4.25,2,3.366666667
M,ORG_CHNG,N,N,U,N,N,Y,Y,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,11,3.166666667,2.333333333,1,3.5,1,2.833333333,4,2,3.75,4,2.2,3.316666667
M,ORG_CHNG,N,Y,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,2,3.166666667,4.333333333,3.25,4.25,4,1.666666667,4.333333333,1,3.75,2,3.8,2.55
M,ORG_CHNG,N,N,N,U,N,Y,Y,UPTO_3_MONTHS,BTWN_6_12_MONTHS,Low,6,3.166666667,2.333333333,1,3.5,1,1.666666667,4,2,3.75,3.5,2.2,2.983333333
M,ORG_CHNG,N,N,N,N,N,Y,N,UPTO_3_MONTHS,BTWN_3_6_MONTHS,High,5,2.333333333,2.333333333,1,3.25,1.25,1.333333333,4,2.75,4.25,2.75,2.033333333,3.016666667
M,ORG_CHNG,N,N,N,N,N,Y,Y,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,17,3.166666667,2.333333333,1,3.5,1,1,2.666666667,1.25,3.75,3.5,2.2,2.433333333
M,ORG_CHNG,N,Y,N,U,N,Y,Y,BTWN_3_6_MONTHS,UPTO_3_MONTHS,Low,5,3.333333333,4,2.5,4.25,4,2.666666667,1.666666667,2.75,2.5,2.5,3.616666667,2.416666667
M,ORG_CHNG,N,Y,N,N,N,Y,N,UPTO_3_MONTHS,UPTO_3_MONTHS,Low,3,2.333333333,2,2.5,3,1.75,3.333333333,3.333333333,3.5,2.5,3,2.316666667,3.133333333
M,BIZ_CHNG,N,N,N,U,N,Y,Y,UPTO_3_MONTHS,UPTO_3_MONTHS,High,5,2.333333333,2,2.5,3.5,2.25,3,2,3,2.5,2,2.516666667,2.5
M,ORG_CHNG,N,N,N,N,N,Y,Y,BTWN_3_6_MONTHS,UPTO_3_MONTHS,High,3,2.666666667,4.666666667,2.5,4.5,3.5,3.5,5,2.5,4,3.75,3.566666667,3.75
M,ORG_CHNG,N,N,N,N,N,Y,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,High,6,3.666666667,4.666666667,2.25,3.5,3.25,3.166666667,5,2,5,4,3.466666667,3.833333333
F,ORG_CHNG,N,N,N,D,N,N,N,UPTO_3_MONTHS,BTWN_3_6_MONTHS,Low,10,2.666666667,4,2,4.25,3.5,3.666666667,5,2.25,5,4.25,3.283333333,4.033333333
M,ORG_CHNG,Y,N,N,U,N,Y,N,BTWN_6_12_MONTHS,MORE_THAN_2_YEARS,Low,4,2.666666667,4.666666667,1.5,4.75,4,4.5,5,3.75,4.25,4,3.516666667,4.3
M,BIZ_CHNG,N,N,N,N,N,N,N,BTWN_3_6_MONTHS,UPTO_3_MONTHS,High,10,2.5,2,3,2.75,2.75,2.666666667,2,2.5,2.5,2,2.6,2.333333333
M,ORG_CHNG,Y,N,N,N,N,Y,N,UPTO_3_MONTHS,BTWN_3_6_MONTHS,High,7,2.666666667,4,2.25,5,4.75,3.166666667,5,2,5,4,3.733333333,3.833333333
M,ORG_CHNG,N,Y,N,U,N,N,N,BTWN_3_6_MONTHS,BTWN_6_12_MONTHS,High,6,3.666666667,4,2,4.5,4.25,2.666666667,2,2.5,2,2,3.683333333,2.233333333
M,ORG_CHNG,N,Y,U,N,N,Y,N,BTWN_6_12_MONTHS,BTWN_3_6_MONTHS,Low,3,2.833333333,4,2.5,3.75,3.5,3,2,3,2.5,2.5,3.316666667,2.6
M,BIZ_CHNG,N,Y,N,U,N,Y,Y,UPTO_3_MONTHS,BTWN_3_6_MONTHS,Low,23,2.166666667,3.333333333,2,4.5,3,2.666666667,2,2.5,2.5,2.5,3,2.433333333
F,ORG_CHNG,Y,Y,N,U,Y,N,N,UPTO_3_MONTHS,BTWN_6_12_MONTHS,Low,4,2.666666667,4,2.5,4.25,4,3.333333333,4,2.5,4,3.5,3.483333333,3.466666667
M,ORG_CHNG,Y,N,N,U,N,Y,N,BTWN_1_2_YEAR,BTWN_3_6_MONTHS,High,3,2.666666667,4.666666667,1.75,4.75,4,3.5,5,1.75,3.25,3,3.566666667,3.3
F,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,6,2.833333333,2.666666667,1.5,3.5,2,1.833333333,2,2,3.25,2,2.5,2.216666667
F,ORG_CHNG,Y,N,N,U,Y,Y,N,BTWN_3_6_MONTHS,BTWN_3_6_MONTHS,High,4,3,4.666666667,2.75,3.25,3.25,3.666666667,4.333333333,2.25,3.75,3.25,3.383333333,3.45
M,ORG_CHNG,N,N,N,N,N,Y,Y,UPTO_3_MONTHS,UPTO_3_MONTHS,Low,10,2.333333333,2,2.5,2.75,1.75,2.666666667,4,2.5,3,2.5,2.266666667,2.933333333
M,ORG_CHNG,N,N,N,D,N,Y,Y,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,20,1.833333333,2,2.5,3.5,2.5,3.333333333,4.666666667,4.25,4,3.75,2.466666667,4
M,ORG_CHNG,N,N,N,N,N,Y,Y,BTWN_1_2_YEAR,BTWN_3_6_MONTHS,High,2,1.833333333,2.666666667,2,3.5,2.5,3.333333333,4,2.75,3.5,3.5,2.5,3.416666667
F,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,9,2.833333333,3.333333333,2.25,4.25,2.25,1.333333333,2.666666667,2,2.75,2.5,2.983333333,2.25
F,ORG_CHNG,N,N,N,D,N,Y,Y,UPTO_3_MONTHS,UPTO_3_MONTHS,Low,10,2.333333333,4,3.5,3,3.25,3,2.666666667,3,2,2.5,3.216666667,2.633333333
M,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,UPTO_3_MONTHS,High,2,2.833333333,4,3,3,2,2.666666667,4,2.5,3,2.5,2.966666667,2.933333333
F,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,UPTO_3_MONTHS,Low,10,2.5,2,3,3,2,2.666666667,2,2.5,2,2.5,2.5,2.333333333
M,BIZ_CHNG,N,N,N,N,N,N,Y,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,8,2.666666667,2.666666667,3,3.25,2,1.333333333,1,1.75,3.75,3,2.716666667,2.166666667
F,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,5,2.833333333,2,2.5,3,2,1.833333333,3.333333333,1.25,3.75,3,2.466666667,2.633333333
F,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,8,2.833333333,2,2.5,3.5,2,1.833333333,3.333333333,1.25,3.75,3,2.566666667,2.633333333
F,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,6,2.833333333,2.666666667,2.5,2.75,1.25,1.833333333,3.333333333,1.25,3.75,3,2.4,2.633333333
F,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,2,2.833333333,4,2.5,3.5,2,1.833333333,3.333333333,1.25,3.75,3,2.966666667,2.633333333
F,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,10,2.833333333,3.333333333,2.5,3,2,1.833333333,3.333333333,1.25,3.75,3,2.733333333,2.633333333
F,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,Low,5,2.833333333,3.666666667,2,3.25,2.25,1.833333333,3.333333333,1.25,3.75,3,2.8,2.633333333
M,BIZ_CHNG,N,N,N,N,N,N,N,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,10,2.833333333,2.666666667,2.5,3.5,2,1.833333333,3.333333333,1.25,3.75,3,2.7,2.633333333
M,BIZ_CHNG,Y,N,N,U,N,Y,Y,BTWN_3_6_MONTHS,BTWN_1_2_YEAR,High,4,3,2,2.5,2.5,2.5,1.833333333,3.333333333,1.25,3.75,3,2.5,2.633333333
M,BIZ_CHNG,N,N,U,U,N,Y,N,UPTO_3_MONTHS,BTWN_3_6_MONTHS,Low,5,2.833333333,2,2,3.5,2.25,2.666666667,4,2.5,3.5,4,2.516666667,3.333333333
M,BIZ_CHNG,N,N,N,N,N,Y,Y,UPTO_3_MONTHS,BTWN_1_2_YEAR,High,10,2.333333333,3.333333333,2.5,3,1.75,1.833333333,3.333333333,1.25,3.75,3,2.583333333,2.633333333
M,ORG_CHNG,N,Y,N,N,N,Y,N,UPTO_3_MONTHS,BTWN_6_12_MONTHS,Low,15,2.333333333,2,2,3,1.75,3.333333333,4,2.5,4,3.5,2.216666667,3.466666667
M,ORG_CHNG,Y,Y,N,N,N,Y,Y,BTWN_1_2_YEAR,BTWN_3_6_MONTHS,High,7,2.666666667,2.666666667,4,4,3,2.833333333,2.666666667,4,3.25,2.75,3.266666667,3.1
M,ORG_CHNG,Y,N,U,N,N,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,Low,1,2.666666667,5,1.25,4.75,3.25,3.833333333,4.333333333,2,5,3.25,3.383333333,3.683333333
M,ORG_CHNG,Y,N,N,N,N,Y,N,BTWN_6_12_MONTHS,BTWN_6_12_MONTHS,High,5,2.666666667,4,2.5,4.5,4.75,3.333333333,5,2.5,4,3.5,3.683333333,3.666666667
M,ORG_CHNG,N,Y,U,U,N,N,N,BTWN_6_12_MONTHS,BTWN_6_12_MONTHS,Low,5,2.666666667,4,2.5,4.25,3.75,2.666666667,4,2.5,4.75,4,3.433333333,3.583333333
M,ORG_CHNG,N,X,N,N,N,N,N,UPTO_3_MONTHS,MORE_THAN_2_YEARS,High,12,2.666666667,3.333333333,3.75,3.5,2.5,3.5,4,2,4,3.25,3.15,3.35
M,ORG_CHNG,N,N,N,U,N,Y,Y,BTWN_6_12_MONTHS,UPTO_3_MONTHS,Low,3,2,4,2.5,4,3.5,2.666666667,2,2.5,3.5,3,3.2,2.733333333
F,BIZ_CHNG,N,N,N,N,N,Y,Y,UPTO_3_MONTHS,UPTO_3_MONTHS,Low,15,1.833333333,2.666666667,2.5,3,2.25,2.666666667,2,2.5,4,3,2.45,2.833333333
M,ORG_CHNG,Y,N,N,N,Y,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,High,6,3.166666667,5,1.5,5,4.5,2.333333333,4,1.75,4.25,4,3.833333333,3.266666667
M,ORG_CHNG,Y,Y,N,N,Y,Y,N,BTWN_1_2_YEAR,BTWN_6_12_MONTHS,High,6,3.166666667,5,1.5,5,4.5,2.333333333,4,1.75,4.25,4,3.833333333,3.266666667
